"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿Qué tipo de variable proporcionan datos nominales y datos ordinales?","Cuantitativa","Continua","Discreta","Cualitativa","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En una comunidad ocurre un huayco que pone en riesgo la asistencia alimentaria de la población. ¿Hasta qué edad en 
años se considera al grupo vulnerable en niños?","2","<3","<1","5","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Al asumir la responsabilidad de su servicio, encuentra como línea base una gran cantidad de problemas a resolver, para 
destinar los recursos disponibles de manera racional y eficiente, debe priorizar los problemas raíz. Bajo el supuesto que 
el 20% de las causas genera el 80% de los problemas. ¿Qué herramienta de gestión debe elegir para establecer la 
priorización?","Análisis FODA","Rueda de Deming","Diagrama de Ichikawa","Diagrama de Pareto","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El servicio de laboratorio clínico de un establecimiento I-4, ha suspendido las pruebas bioquímicas por avería permanente 
del fotómetro digital. ¿Qué elemento de la oferta de servicios de salud se ha perdido?","Calidad de atención","Tamaño de los recursos","Capacidad resolutiva","Capacidad de oferta","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","La Obstetra atiende a una adolescente en el primer trimestre de embarazo con anemia en una comunidad indígena, 
explica la importancia de adoptar medidas en el tratamiento, por las consecuencias para el binomio madre/hijo; se brinda 
información y se busca establecer acuerdos en un ambiente de respeto y reconocimiento de las diferencias culturales. 
¿A qué acción corresponde?","Diversidad cultural","Comunicación lingüística","Pertinencia cultural","Diálogo intercultural","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Los adolescentes de una comunidad, necesitan atención integral estomatológica, para cubrir sus necesidades de salud. 
¿Qué establecimiento de salud del primer nivel oferta la cartera de servicios necesaria?","I-1","II-1","I-3","I-2","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El conjunto de procedimientos asistenciales a través del cual se asegura la continuidad de la atención de las necesidades 
de salud de los usuarios, transfiriéndolo del establecimiento de menor a mayor capacidad resolutiva corresponde a:","Referencia","Atención compartida","Contrarreferencia","Atención primaria","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Puérpera acude al consultorio de odontología, por presentar manchas blancas en los dientes, refiere que le acaban de 
diagnosticar anemia y que ese día inicia su tratamiento con sulfato ferroso. Se le realiza el tratamiento preventivo 
odontológico y se le recomienda continuar con su tratamiento para la anemia; se le indica que le van a realizar una visita 
para monitorear su adherencia al tratamiento. ¿A los cuántos días se realiza el seguimiento una vez iniciada el tratamiento 
de anemia?","15","30","7","42","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El análisis ...... permite relacionar los factores externos (entorno) e internos (intorno) de la organización, así como 
descubrir las posibilidades de éxito o fracaso de la organización.","FODA","retrospectivo","estratégico","situacional","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El documento que acredita la condición de la persona con discapacidad y es otorgado por los establecimientos de salud 
a nivel nacional. Es el certificado de …","invalidez.","discapacidad.","incapacidad.","capacidad.","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El equipo de trabajo para evaluación de brote de IAAS, es presidido por ...","responsable de prevención y control de IAAS.","director del EE.SS.","jefe de departamento de enfermería.","responsable de epidemiología.","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el establecimiento de salud al paciente adulto se le brinda el consentimiento informado, donde se le explica en forma 
clara los procedimientos que se le realizará. ¿Qué aspectos éticos se está respetando?","Beneficencia","Maleficencia","Autonomía","Justicia","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En las intervenciones realizadas en el EESS por el personal de salud en guardias comunitarias esta la vigilancia 
epidemiológica en dengue para verificar el incremento de casos reportados en los meses de verano. ¿Qué característica 
epidemiológica resulta de estas intervenciones?","Vigilancia pública","Número de casas infectadas","Tipos de almacenamiento de agua","Cambio en patrones de vectores","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","¿Qué política nacional se emplea para las personas con discapacidad para promover su inserción formal y adecuada en 
el mercado de trabajo?","Programación de intervención de empleo","Promoción de oportunidades de empleo","Práctica de inserción de empleo","Prevención de integración de empleo","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En las Buenas Practicas de Almacenamiento se indica que ...... es la secuencia que comprende las fases o eventos de 
transporte del producto farmacéutico y dispositivo médico termo-sensible desde su fabricación hasta su recepción por el 
usuario final, manteniendo la temperatura dentro de las especificaciones aprobadas.","la cadena de frio","el control de temperatura","el mapeo térmico","la conservación de temperatura","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Juan tiene nueve meses de edad, comienza a imitar los sonidos de sus hermanos mayores de su ambiente, aunque aún 
no posee comprensión auditiva. ¿Cómo se conoce está repetición?","Espasmofemia","Ecolalia","Taquilalia","Bradilalia","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Dentro de las acciones de salud ocupacional en su centro laboral, se ha determinado en el personal de salud adulto mayor 
evaluar la incidencia de diabetes, obesidad e hipertensión en los últimos meses. ¿Qué actividad se debe realizar para la 
prevención y control?","Numero de controles médicos","Control de eventos no infecciosos","Respuesta a tratamiento","Numero de infecciones presentadas","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Las actividades operativas son componentes del POI de la IPRESS. ¿Cuál de las siguientes alternativas corresponde a 
una actividad operativa?","Acceder a agua segura, hábitos de aseo personal y lavado de alimentos","Contratar los servicios de instalación de sistema de cloración para agua","Reducir las enfermedades diarreicas agudas en la población infantil","Preservar el buen estado de salud de la población infantil","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Después de resolver un problema complejo en un paciente, con la finalidad de garantizar el seguimiento y la continuidad 
de los cuidados básicos. ¿Como se denomina el procedimiento administrativo-asistencial mediante el cual, el 
establecimiento de salud de mayor complejidad devuelve la responsabilidad del cuidado de la salud de un usuario al 
establecimiento de menor nivel?","Contrarreferencia","Transferencia","Referencia","Derivación","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En el modelo de abordaje de Promoción de la Salud. ¿Qué escenario nos permite trabajar con la comunidad la alta 
incidencia de anemia en el distrito de la Victoria del año en curso?","Familia","Colegio","Iglesia","Municipio","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Usted realiza su SERUMS en un establecimiento cuyas UPSS son Consulta Externa y Laboratorio Clínico. ¿Cuál es la 
categoría del establecimiento?","I-3","I-4","I-2","II-1","A"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Si la persona encargada de recomendar un antihistamínico conoce que la diferencia entre la levocetiricina y la cetiricina 
es solo el menor efecto de somnolencia del racemato, y aun así recomienda la levocetiricina a pesar de su elevado costo 
y suponiendo que la somnolencia no representaría mayor riesgo para el paciente. ¿Qué principio ético se está 
vulnerando?","Respeto a la autonomía","Justicia","Beneficencia","No maleficencia","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El Comité Distrital de Salud (CDS) del distrito de Lurigancho, en sesión, ha aprobado el plan de acciones articuladas para 
intervenir sobre las principales enfermedades que afectan a los pobladores y reducir su impacto, contribuyendo con la 
cultura de autocuidado. ¿Cómo deben ser estas acciones?","Participativas","Multidisciplinarias","Intersectoriales","Comunitarias","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","El número de casos nuevos de una enfermedad dividido por la población en riesgo de la enfermedad en un lugar 
específico y durante un periodo específico, corresponde a:","Indicadores de mortalidad","Tasa de prevalencia","Tasa de incidencia","Indicadores de morbilidad","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Julio es un niño de 10 años acude al especialista en terapia de lenguaje en la evaluación tiene dificultad para comprender 
la lectura, la capacidad para reconocer palabras escritas y el desempeño de tareas que requieren lectura. ¿Qué trastorno 
específico presenta?","Deletreo","Lectura","Habilidades aritméticas","Habilidades escolares","B"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","En la provincia de Huánuco los establecimientos de salud pertenecientes a la Microred 2 mantienen una alta cobertura 
de atenciones, captando al 95% de su población, mostrando una ubicación geográfica de adecuada accesibilidad a la 
población. ¿Dentro del componente calidad del modelo de atención, qué característica se evidencia?","Tecnología apropiada","Evaluación demográfica","Innovación","Accesibilidad a servicios de salud","D"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Cuando mejoran las condiciones de desarrollo de un país, mejoran también sus accesos a la salud, el cubrimiento de la 
población, la difusión de medidas de prevención y diagnóstico temprano; lo que produce reducción significativa de la 
mortalidad y la morbilidad por enfermedades agudas e infecciosas. ¿A qué está asociada la transición epidemiológica?","Cambios en factores de riesgo","Impacto en la investigación científica","Cambios demográficos","Factores infecciosos","C"
"Examenes_2026_I","8053031-015-terapia-del-lenguaje","Se desea evaluar el impacto del sulfato ferroso sobre el promedio de hemoglobina en niños de su comunidad. ¿Cuál es 
la prueba estadística que debe utilizar para probar su hipótesis?","Chi cuadrado","Percentiles","t de Student","Correlación de Pearson","C"
